set C :=C1 C2 C3 C4 C5 C6 C7 C8 C9 C10 C11 C12 C13 C14 C15 C16 ;
set P :=FO1 FO2 FO3 FO4 FO5 FO6 FO7 FO8 FO9 FO10 FO11 FO12 FO13 FO14 FO15 FO16 ;
set F :=1165 1432 1698 1843 1987 2135 2421 2600 2828 2972 3072 3250 3386 3571 3708 3984 4217 4461 4699 4858 5059 5172 5307 5531 5715 6005 6289 6522 6759 6942 7023 7398 7509 7961 8324 8456 8838 9122 9456 9785 ;

param: origin dest dep arr :=
[1165] SCR SDG 429 519
[1432] BER UCL 432 492
[1698] DAV BER 444 474
[1843] SDG BER 453 543
[1987] UCL SDG 471 501
[2135] BER UCL 485 545
[2421] UCL SDG 499 529
[2600] BER DAV 540 570
[2828] SCR DAV 552 582
[2972] UCL SDG 583 613
[3072] SDG SCR 597 687
[3250] SDG UCL 603 633
[3386] SDG SCR 630 720
[3571] BER DAV 647 677
[3708] DAV BER 660 690
[3984] UCL BER 670 730
[4217] UCL BER 743 803
[4461] SDG UCL 748 778
[4699] SCR BER 750 780
[4858] DAV SCR 780 810
[5059] BER SCR 780 810
[5172] DAV SDG 790 910
[5307] BER DAV 801 831
[5531] UCL BER 847 907
[5715] SCR BER 861 891
[6005] BER UCL 870 930
[6289] BER DAV 898 928
[6522] SCR BER 900 930
[6759] DAV UCL 920 1010
[6942] SCR UCL 957 1017
[7023] SDG SCR 977 1067
[7398] BER SCR 979 1009
[7509] UCL SDG 993 1023
[7961] BER UCL 999 1059
[8324] BER DAV 1023 1053
[8456] DAV UCL 1043 1133
[8838] UCL BER 1080 1140
[9122] UCL SDG 1085 1110
[9456] SDG SCR 1089 1179
[9785] SCR BER 1101 1131
;

param capPos0 :=
[C1] BER
[C2] BER
[C3] BER
[C4] BER
[C5] UCL
[C6] UCL
[C7] UCL
[C8] UCL
[C9] SDG
[C10] SDG
[C11] SDG
[C12] DAV
[C13] DAV
[C14] SCR
[C15] SCR
[C16] SCR
;

param foPos0 :=
[FO1] BER
[FO2] BER
[FO3] BER
[FO4] BER
[FO5] UCL
[FO6] UCL
[FO7] UCL
[FO8] UCL
[FO9] SDG
[FO10] SDG
[FO11] SDG
[FO12] DAV
[FO13] DAV
[FO14] SCR
[FO15] SCR
[FO16] SCR
;

param capCost :=
[1165, C1] 187
[1165, C2] 162
[1165, C3] 240
[1165, C4] 171
[1165, C5] 178
[1165, C6] 256
[1165, C7] 249
[1165, C8] 204
[1165, C9] 204
[1165, C10] 182
[1165, C11] 229
[1165, C12] 179
[1165, C13] 204
[1165, C14] 221
[1165, C15] 193
[1165, C16] 183
[1432, C1] 229
[1432, C2] 276
[1432, C3] 285
[1432, C4] 261
[1432, C5] 277
[1432, C6] 244
[1432, C7] 278
[1432, C8] 303
[1432, C9] 314
[1432, C10] 274
[1432, C11] 270
[1432, C12] 282
[1432, C13] 266
[1432, C14] 282
[1432, C15] 237
[1432, C16] 236
[1698, C1] 255
[1698, C2] 270
[1698, C3] 250
[1698, C4] 245
[1698, C5] 291
[1698, C6] 294
[1698, C7] 264
[1698, C8] 256
[1698, C9] 277
[1698, C10] 186
[1698, C11] 280
[1698, C12] 259
[1698, C13] 254
[1698, C14] 272
[1698, C15] 270
[1698, C16] 266
[1843, C1] 233
[1843, C2] 270
[1843, C3] 244
[1843, C4] 243
[1843, C5] 222
[1843, C6] 256
[1843, C7] 227
[1843, C8] 266
[1843, C9] 241
[1843, C10] 288
